"STATION_ID","IN_FLOW","OUT_FLOW","ZDMC"
"GDZD000010","52966","55862","会展中心站"
"GDZD000028","31028","30470","坂田站"
"GDZD000072","13889","14251","燕南站"
"GDZD000074","22996","22541","田贝站"
"GDZD000113","36571","37542","黄贝岭站"
"GDZD000073","15678","15446","爱联站"
"GDZD000115","14463","15013","龙城广场站"
"GDZD000137","2291","2433","红树湾南站"
"GDZD000104","76801","76254","车公庙站"
"GDZD000123","3965","3784","深云站"
"GDZD000122","11912","12266","桃源村站"
"GDZD000121","6948","7288","龙井站"
"GDZD000142","16882","16855","梅景站"
"GDZD000149","7597","7176","红岭南站"
"GDZD000025","18400","17935","后瑞站"
"GDZD000026","45250","47282","固戍站"
"GDZD000029","52240","54713","坪洲站"
"GDZD000005","13373","12989","东角头站"
"GDZD000017","10118","9604","华侨城站"
"GDZD000011","13263","13535","侨城东站"
"GDZD000068","4620","4606","深康站"
"GDZD000110","4614","4328","香蜜站"
"GDZD000108","8723","8492","香梅北站"
"GDZD000069","54550","54673","清湖站"
"GDZD000078","30821","31943","白石龙站"
"GDZD000058","23365","23075","民乐站"
"GDZD000102","37497","38860","购物公园站"
"GDZD000018","44608","50723","华强北站"
"GDZD000107","22133","21435","草埔站"
"GDZD000051","20781","19805","晒布站"
"GDZD000061","10843","11002","水贝站"
"GDZD000047","16061","16206","布心站"
"GDZD000050","10896","10673","新秀站"
"GDZD000095","10465","10232","荷坳站"
"GDZD000124","12328","11778","农林站"
"GDZD000138","640","571","深湾站"
"GDZD000153","3577","3494","文锦站"
"GDZD000049","9336","8783","新安站"
"GDZD000071","33807","33266","灵芝站"
"GDZD000099","6018","5207","蛇口港站"
"GDZD000015","26649","26343","兴东站"
"GDZD000087","19690","18878","竹子林站"
"GDZD000000","20017","20326","上塘站"
"GDZD000096","14792","14965","莲花北站"
"GDZD000045","18692","19107","市民中心站"
"GDZD000043","14434","13851","岗厦北站"
"GDZD000089","16521","16530","红岭站"
"GDZD000094","53565","57194","老街站"
"GDZD000006","20904","22191","湖贝站"
"GDZD000037","19039","19502","太安站"
"GDZD000062","7862","7376","永湖站"
"GDZD000021","24065","23093","双龙站"
"GDZD000001","39643","41116","上梅林站"
"GDZD000117","38525","39949","华强路站"
"GDZD000100","41481","41206","西丽站"
"GDZD000125","22712","21739","上沙站"
"GDZD000132","11513","10329","黄木岗站"
"GDZD000136","7131","7057","洪湖站"
"GDZD000150","4124","3872","鹿丹村站"
"GDZD000151","6498","5964","人民南站"
"GDZD000152","6146","6077","向西村站"
"GDZD000162","286","292","机场北站"
"GDZD000039","15363","15636","宝体站"
"GDZD000086","33534","33903","科苑站"
"GDZD000111","64823","68131","高新园站"
"GDZD000033","20608","20705","大学城站"
"GDZD000077","31156","28857","白石洲站"
"GDZD000109","8149","8419","香蜜湖站"
"GDZD000046","48570","47666","布吉站"
"GDZD000081","27669","28636","石厦站"
"GDZD000044","35397","32579","岗厦站"
"GDZD000083","36301","37064","福田口岸站"
"GDZD000085","27549","28103","科学馆站"
"GDZD000035","29044","29828","大芬站"
"GDZD000014","16612","15925","六约站"
"GDZD000038","4322","4587","安托山站"
"GDZD000127","7038","6914","皇岗村站"
"GDZD000133","11569","12399","八卦岭站"
"GDZD000139","10767","10051","深圳湾公园站"
"GDZD000158","11410","11202","马安山站"
"GDZD000159","9443","9220","塘尾站"
"GDZD000161","22359","22267","福永站"
"GDZD000164","25217","23611","碧海湾站"
"GDZD000054","13036","12768","机场东站"
"GDZD000060","11493","13031","水湾站"
"GDZD000067","57660","57922","深大站"
"GDZD000031","18935","19865","塘朗站"
"GDZD000105","4460","4189","长岭坡站"
"GDZD000080","24007","22981","益田站"
"GDZD000084","40123","40926","福田站"
"GDZD000009","56337","58644","五和站"
"GDZD000097","11686","10712","莲花村站"
"GDZD000106","27560","27258","长龙站"
"GDZD000053","22647","22634","木棉湾站"
"GDZD000020","15474","16057","南联站"
"GDZD000128","10972","9480","皇岗口岸站"
"GDZD000144","11359","10849","梅村站"
"GDZD000146","4888","4777","银湖站"
"GDZD000154","5770","5567","碧头站"
"GDZD000157","19319","19813","沙井站"
"GDZD000024","47828","48637","后海站"
"GDZD000075","17535","17454","留仙洞站"
"GDZD000004","33059","32346","世界之窗站"
"GDZD000013","12470","12007","侨香站"
"GDZD000066","78923","73182","深圳北站"
"GDZD000055","25060","24249","杨美站"
"GDZD000019","26878","26500","华新站"
"GDZD000002","13706","12952","上水径站"
"GDZD000003","26077","24624","下水径站"
"GDZD000079","23881","23764","百鸽笼站"
"GDZD000048","21473","20862","怡景站"
"GDZD000057","27002","27101","横岗站"
"GDZD000126","29033","29087","沙尾站"
"GDZD000052","31104","31007","景田站"
"GDZD000145","10006","9762","孖岭站"
"GDZD000148","14498","14573","园岭站"
"GDZD000156","8129","7708","后亭站"
"GDZD000160","17233","17026","桥头站"
"GDZD000007","558","611","临海站"
"GDZD000063","24773","24372","洪浪北站"
"GDZD000076","15083","15138","登良站"
"GDZD000070","7194","7127","湾厦站"
"GDZD000088","20168","20699","红山站"
"GDZD000023","12989","12581","通新岭站"
"GDZD000091","46566","43127","罗湖站"
"GDZD000027","32135","35684","国贸站"
"GDZD000092","22530","22469","翠竹站"
"GDZD000030","16907","17984","塘坑站"
"GDZD000036","13389","13456","大运站"
"GDZD000118","5981","5523","西丽湖站"
"GDZD000119","8804","8544","茶光站"
"GDZD000120","12360","12481","珠光站"
"GDZD000130","26745","22493","赤尾站"
"GDZD000131","12718","12273","华强南站"
"GDZD000135","18173","18220","笋岗站"
"GDZD000143","14636","13827","下梅林站"
"GDZD000166","41532","41468","南山站"
"GDZD000040","9507","10040","宝华站"
"GDZD000041","26740","28220","宝安中心站"
"GDZD000112","14423","13892","鲤鱼门站"
"GDZD000064","8507","8429","海上世界站"
"GDZD000056","31282","31170","桃园站"
"GDZD000065","13182","12958","海月站"
"GDZD000090","4505","4355","红树湾站"
"GDZD000012","10624","10538","侨城北站"
"GDZD000116","36626","36099","龙胜站"
"GDZD000098","11127","10950","莲花西站"
"GDZD000042","24395","23408","少年宫站"
"GDZD000082","31950","32622","福民站"
"GDZD000032","58529","61121","大剧院站"
"GDZD000008","40037","38173","丹竹头站"
"GDZD000022","13495","13995","吉祥站"
"GDZD000134","18700","19491","红岭北站"
"GDZD000140","29076","29778","下沙站"
"GDZD000141","8303","8348","香梅站"
"GDZD000147","12776","12978","泥岗站"
"GDZD000155","13538","14043","松岗站"
"GDZD000163","18815","18531","机场站"
"GDZD000165","12406","12075","宝安站"
"GDZD000016","3395","3579","前海湾站"
"GDZD000101","32848","31749","西乡站"
"GDZD000093","27255","26765","翻身站"
"GDZD000103","2675","2895","赤湾站"
"GDZD000034","30661","29665","大新站"
"GDZD000114","40787","41604","龙华站"
"GDZD000059","44898","46514","民治站"
